dates,views
2015-07-01,20381244.0
2015-07-02,20752194.0
2015-07-03,19573968.0
2015-07-04,20439644.0
2015-07-05,20772108.0
2015-07-06,22544668.0
2015-07-07,21210888.0
2015-07-08,19107912.0
2015-07-09,19993848.0
2015-07-10,20201820.0
2015-07-11,19697812.0
2015-07-12,20232622.0
2015-07-13,20516284.0
2015-07-14,19701242.0
2015-07-15,19563106.0
2015-07-16,19658464.0
2015-07-17,18989968.0
2015-07-18,18364384.0
2015-07-19,18825016.0
2015-07-20,20338628.0
2015-07-21,19740114.0
2015-07-22,19536360.0
2015-07-23,19620144.0
2015-07-24,18639334.0
2015-07-25,19317992.0
2015-07-26,20404878.0
2015-07-27,20155604.0
2015-07-28,19891238.0
2015-07-29,27562968.0
2015-07-30,18497100.0
2015-07-31,17928620.0
2015-08-01,18184588.0
2015-08-02,19406980.0
2015-08-03,18952314.0
2015-08-04,20533464.0
2015-08-05,20246180.0
2015-08-06,20060144.0
2015-08-07,19118752.0
2015-08-08,19440904.0
2015-08-09,19711586.0
2015-08-10,19852184.0
2015-08-11,18373716.0
2015-08-12,19389980.0
2015-08-13,19189292.0
2015-08-14,19448048.0
2015-08-15,19307160.0
2015-08-16,19678502.0
2015-08-17,20307324.0
2015-08-18,20082806.0
2015-08-19,18899128.0
2015-08-20,19086124.0
2015-08-21,18898178.0
2015-08-22,18795848.0
2015-08-23,19889634.0
2015-08-24,20207892.0
2015-08-25,18560860.0
2015-08-26,18092700.0
2015-08-27,17864810.0
2015-08-28,17294988.0
2015-08-29,17841510.0
2015-08-30,18196736.0
2015-08-31,20550338.0
2015-09-01,18080224.0
2015-09-02,18416432.0
2015-09-03,17852452.0
2015-09-04,17481224.0
2015-09-05,17902156.0
2015-09-06,18996520.0
2015-09-07,19742704.0
2015-09-08,19648010.0
2015-09-09,18609460.0
2015-09-10,18072668.0
2015-09-11,18555510.0
2015-09-12,18931480.0
2015-09-13,19064492.0
2015-09-14,19220060.0
2015-09-15,19269602.0
2015-09-16,18231320.0
2015-09-17,18204056.0
2015-09-18,17712486.0
2015-09-19,17854066.0
2015-09-20,19607284.0
2015-09-21,20802582.0
2015-09-22,18833660.0
2015-09-23,19586928.0
2015-09-24,17953504.0
2015-09-25,17808688.0
2015-09-26,18096936.0
2015-09-27,18695800.0
2015-09-28,20307224.0
2015-09-29,17538876.0
2015-09-30,19702450.0
2015-10-01,18840696.0
2015-10-02,18537732.0
2015-10-03,18301278.0
2015-10-04,18939702.0
2015-10-05,19282652.0
2015-10-06,18265252.0
2015-10-07,18840988.0
2015-10-08,19047312.0
2015-10-09,18440816.0
2015-10-10,18938320.0
2015-10-11,19121832.0
2015-10-12,20286344.0
2015-10-13,19559576.0
2015-10-14,18802022.0
2015-10-15,18822460.0
2015-10-16,17868388.0
2015-10-17,18036102.0
2015-10-18,19028520.0
2015-10-19,21347608.0
2015-10-20,20669052.0
2015-10-21,21553554.0
2015-10-22,21469392.0
2015-10-23,18919156.0
2015-10-24,17532500.0
2015-10-25,20101332.0
2015-10-26,20545890.0
2015-10-27,20892326.0
2015-10-28,20538568.0
2015-10-29,18817868.0
2015-10-30,18179530.0
2015-10-31,18120564.0
2015-11-01,17973094.0
2015-11-02,21329020.0
2015-11-03,21050932.0
2015-11-04,20017882.0
2015-11-05,19777472.0
2015-11-06,18059062.0
2015-11-07,17536850.0
2015-11-08,18536680.0
2015-11-09,20775262.0
2015-11-10,19631184.0
2015-11-11,19202046.0
2015-11-12,18796808.0
2015-11-13,18115624.0
2015-11-14,18071080.0
2015-11-15,19122768.0
2015-11-16,20877192.0
2015-11-17,19786022.0
2015-11-18,19888464.0
2015-11-19,19153768.0
2015-11-20,17571728.0
2015-11-21,18951936.0
2015-11-22,19460548.0
2015-11-23,20561700.0
2015-11-24,19454520.0
2015-11-25,18815904.0
2015-11-26,18137352.0
2015-11-27,17900460.0
2015-11-28,19148652.0
2015-11-29,19277044.0
2015-11-30,21366420.0
2015-12-01,20099428.0
2015-12-02,18205048.0
2015-12-03,18574824.0
2015-12-04,17961520.0
2015-12-05,18167048.0
2015-12-06,18411552.0
2015-12-07,21106508.0
2015-12-08,20075408.0
2015-12-09,18032664.0
2015-12-10,16571493.0
2015-12-11,17547648.0
2015-12-12,16255060.0
2015-12-13,18341734.0
2015-12-14,19253442.0
2015-12-15,17266632.0
2015-12-16,17619356.0
2015-12-17,16540916.0
2015-12-18,16280140.0
2015-12-19,16650087.0
2015-12-20,16678204.0
2015-12-21,17800820.0
2015-12-22,17440968.0
2015-12-23,17778614.0
2015-12-24,17208838.0
2015-12-25,15979689.0
2015-12-26,17885212.0
2015-12-27,17404526.0
2015-12-28,18944272.0
2015-12-29,17566644.0
2015-12-30,17379480.0
2015-12-31,16956024.0
2016-01-01,16357307.0
2016-01-02,17614566.0
2016-01-03,17537448.0
2016-01-04,19232036.0
2016-01-05,18142932.0
2016-01-06,18377878.0
2016-01-07,17277664.0
2016-01-08,16437934.0
2016-01-09,16439118.0
2016-01-10,17278324.0
2016-01-11,19101592.0
2016-01-12,18446226.0
2016-01-13,17198240.0
2016-01-14,18142840.0
2016-01-15,17463096.0
2016-01-16,18220068.0
2016-01-17,18696824.0
2016-01-18,19388248.0
2016-01-19,19658940.0
2016-01-20,18722000.0
2016-01-21,18927908.0
2016-01-22,16902280.0
2016-01-23,17528884.0
2016-01-24,17619260.0
2016-01-25,20102380.0
2016-01-26,18640556.0
2016-01-27,19257876.0
2016-01-28,17268076.0
2016-01-29,17158376.0
2016-01-30,17088068.0
2016-01-31,18357890.0
2016-02-01,20277796.0
2016-02-02,18918364.0
2016-02-03,18859008.0
2016-02-04,18481040.0
2016-02-05,17843144.0
2016-02-06,18587860.0
2016-02-07,19309520.0
2016-02-08,20739786.0
2016-02-09,20397500.0
2016-02-10,17795970.0
2016-02-11,15992018.0
2016-02-12,16617595.0
2016-02-13,17480704.0
2016-02-14,18726756.0
2016-02-15,20032776.0
2016-02-16,20575540.0
2016-02-17,20476918.0
2016-02-18,18843192.0
2016-02-19,17769660.0
2016-02-20,17818972.0
2016-02-21,18605492.0
2016-02-22,20419680.0
2016-02-23,19124130.0
2016-02-24,18960222.0
2016-02-25,19336524.0
2016-02-26,18111280.0
2016-02-27,18717100.0
2016-02-28,19800232.0
2016-02-29,21580284.0
2016-03-01,19914760.0
2016-03-02,19662848.0
2016-03-03,21093766.0
2016-03-04,17953832.0
2016-03-05,19490844.0
2016-03-06,18435284.0
2016-03-07,19338544.0
2016-03-08,18439356.0
2016-03-09,18144432.0
2016-03-10,17279016.0
2016-03-11,15675061.0
2016-03-12,16375523.0
2016-03-13,14680683.0
2016-03-14,18617818.0
2016-03-15,16794808.0
2016-03-16,16286673.0
2016-03-17,16038697.0
2016-03-18,15873151.0
2016-03-19,14503762.0
2016-03-20,14020835.0
2016-03-21,15315617.0
2016-03-22,14483494.0
2016-03-23,15114546.0
2016-03-24,14594564.0
2016-03-25,14088380.0
2016-03-26,14588211.0
2016-03-27,15326802.0
2016-03-28,17449544.0
2016-03-29,15724981.0
2016-03-30,15307228.0
2016-03-31,14506700.0
2016-04-01,13658940.0
2016-04-02,15130113.0
2016-04-03,16171487.0
2016-04-04,18152644.0
2016-04-05,17002940.0
2016-04-06,17028052.0
2016-04-07,16822208.0
2016-04-08,16176598.0
2016-04-09,17166428.0
2016-04-10,17373626.0
2016-04-11,19206658.0
2016-04-12,18442388.0
2016-04-13,17128952.0
2016-04-14,17172744.0
